"";"x"
"1";0,000318139733367806
"2";0,000552494741748732
"3";0,000420411952853583
"4";0,000727344575079503
"5";0,000646951894314296
"6";0,000154058091370646
"7";0,000162483129740931
"8";0,00020765949280277
"9";0,000187199413115569
"10";0,000617175933221137
"11";0,000110361549765181
"12";0,000167407222912586
"13";0,000636921799965828
"14";0,00428419851676271
"15";0,00195022171458814
"16";0,00509952549829912
"17";9,9999999999989e-05
"18";0,0051293136578594
"19";0,000400882318398466
"20";0,00118975055337828
"21";0,0004784431220618
"22";0,000279010367805532
"23";0,00151659903678308
"24";0,00227367745499524
"25";0,00371006164247423
"26";0,00540946190513691
"27";0,000197093824620465
"28";0,00671917886335521
"29";0,00396821387079999
"30";0,00256721810982241
"31";0,000125124195146931
"32";0,00330699274852347
"33";0,00215456393407165
"34";0,00706765201666443
"35";0,000282967909157661
"36";0,00333107881399641
"37";0,003839913558777
"38";0,015175941330997
"39";0,00356144917451834
"40";0,00146787847550234
"41";0,000482666093995943
"42";0,00383861616934039
"43";0,000206858202976112
"44";0,000984593254106547
"45";0,000337784474484348
"46";0,000289214795475112
"47";0,000595574916364805
"48";0,00159722783237864
"49";0,00073904038043493
"50";0,00163841366441803
"51";0,000392829272204909
"52";0,000595415156504242
"53";0,00153845494125004
"54";0,000490148110913524
"55";0,0033946392564756
"56";0,000300793876393424
"57";0,00514472549950862
"58";0,000104467653039397
"59";0,00445832667004009
"60";0,0111078096907435
"61";0,000189408221985765
"62";0,00217850625951105
"63";0,00147744970874419
"64";9,9999999999989e-05
"65";0,000557286490899478
"66";0,00101736220839227
"67";0,00107788998639269
"68";0,000857925734823239
"69";0,00282349275265359
"70";0,00132173479299935
"71";0,00511027847052309
"72";0,00335642886246607
"73";0,00690870289537049
"74";0,00269983236658378
"75";0,00549132443234457
"76";0,000230499506357007
"77";0,00250978608275709
"78";0,00333163266198666
"79";0,00115492846109805
"80";0,000985763064848988
"81";0,00180369478219666
"82";0,00721624171763957
"83";0,00336718496784033
"84";0,00312016648191199
"85";0,00129822787130224
"86";0,000481288626749454
"87";0,000167695282472902
"88";0,000150307212889833
"89";0,00350203760823803
"90";9,9999999999989e-05
"91";0,000805228516171042
"92";0,00198266427235672
"93";0,00416525219462943
"94";0,000199127998666115
"95";0,0026350060653495
"96";0,00369517977795653
"97";0,00227202677420685
"98";9,9999999999989e-05
"99";0,00167686514039583
"100";0,00217066922938475
"101";0,00118896142867925
"102";0,000152922214018636
"103";0,00291250030206591
"104";0,0001004050285206
"105";0,000255152395457425
"106";0,00209231206490584
"107";0,00149516627501828
"108";0,000147983857858136
"109";0,00426178427738627
"110";0,00672100474625553
"111";0,000119309342975438
"112";0,00221593402113424
"113";0,00148032527776271
"114";0,000885667631046083
"115";0,000118329207827728
"116";0,00181001707299527
"117";0,00116134771723397
"118";0,00107758593463825
"119";0,0030575481265474
"120";0,00234504617468229
"121";0,0034897239985428
"122";0,00106116154787689
"123";0,00336686023082122
"124";0,00338233719257669
"125";0,0026326942414896
"126";0,00119892740270994
"127";0,000656543729436077
"128";0,00174242932635654
"129";0,00110972781828406
"130";0,00179882223205347
"131";0,00149650818317626
"132";0,00178479200378689
"133";0,000757383632105535
"134";0,00498691859461015
"135";0,00393663346881423
"136";0,0011877302524777
"137";0,00264798936226102
"138";0,0027855590712168
"139";0,00308573989193528
"140";0,00249862417267172
"141";0,00843784430513767
"142";0,000103723810825518
"143";0,000165370997378567
"144";0,00121909083424349
"145";0,00152464469619829
"146";0,00199746812540236
"147";0,00077951578700014
"148";0,00359922359262094
"149";0,00145883381197132
"150";0,00242374669893025
"151";9,9999999999989e-05
"152";0,000475154848415649
"153";0,000884391669563278
"154";0,0001249557073702
"155";0,000438296085287726
"156";0,00172247235448464
"157";9,9999999999989e-05
"158";0,000907104459183239
"159";0,00232739423098755
"160";0,00323848140278099
"161";0,00235511778864406
"162";0,000880081335642657
"163";0,000186137808075137
"164";0,00173436145660399
"165";0,000948602861114534
"166";0,00230561005850272
"167";0,00118508593857025
"168";0,00317359012849938
"169";0,00189107706330144
"170";0,00230486185326462
"171";0,00602273120356078
"172";0,000149992499749951
"173";0,000131998191569005
"174";0,00572236873012893
"175";0,0141844085289151
"176";0,000110545190970535
"177";0,00106665757117175
"178";0,00197575117542076
"179";0,000878583137438549
"180";0,000553234658414281
"181";0,00107168267675456
"182";0,00864093032242175
"183";0,000202007095790213
"184";0,00183295270066502
"185";0,000190656409268353
"186";0,000574232804583075
"187";0,000572798870516589
"188";0,0018568492606621
"189";0,00224987365175894
"190";0,00154262184684567
"191";0,000268337422172693
"192";0,00274351892538044
"193";0,00185425821994123
"194";0,00212837760893214
"195";0,000191176142475824
"196";0,000166388571096576
"197";0,00146020856926865
"198";0,000514594697081261
"199";0,000124140621979019
"200";0,000156111093256861
"201";0,00128810601912099
"202";0,000259586170325621
"203";0,00242932974040372
"204";0,00114202634365917
"205";0,00719512490872515
"206";0,00586634796618724
"207";0,000644930668226684
"208";0,000664395038914078
